Pricing Date,Day Close Price
5/1/1992,1465.95
5/4/1992,1498.97
5/5/1992,1501.86
5/6/1992,1473.26
5/7/1992,1474.93
5/8/1992,1473.77
5/11/1992,1459.54
5/12/1992,1458.57
5/13/1992,1461.52
5/14/1992,1472.75
5/15/1992,1466.72
5/18/1992,1466.72
5/19/1992,1469.8
5/20/1992,1472.87
5/21/1992,1467.81
5/22/1992,1466.72
5/25/1992,1470.95
5/26/1992,1494.29
5/27/1992,1506.54
5/28/1992,1528.15
5/29/1992,1524.69
6/1/1992,1510.52
6/2/1992,1513.27
6/3/1992,1513.98
6/4/1992,1507.44
6/5/1992,1503.72
6/8/1992,1500.58
6/9/1992,1492.11
6/10/1992,1511.41
6/11/1992,1511.41
6/12/1992,1516.87
6/15/1992,1519.88
6/16/1992,1514.3
6/17/1992,1517.44
6/18/1992,1506.03
6/19/1992,1498.97
6/22/1992,1488.78
6/23/1992,1490.64
6/24/1992,1488.71
6/25/1992,1501.35
6/26/1992,1492.69
6/29/1992,1481.66
6/30/1992,1481.08
7/1/1992,1491.21
7/2/1992,1491.73
7/3/1992,1484.1
7/6/1992,1480.51
7/7/1992,1480.89
7/8/1992,1473.52
7/9/1992,1481.02
7/10/1992,1487.05
7/13/1992,1482.88
7/14/1992,1483.78
7/15/1992,1481.15
7/16/1992,1462.61
7/17/1992,1451.14
7/20/1992,1445.75
7/21/1992,1434.46
7/22/1992,1436.9
7/23/1992,1424.65
7/24/1992,1401.31
7/27/1992,1422.34
7/28/1992,1412.53
7/29/1992,1429.59
7/30/1992,1449.02
7/31/1992,1451.84
8/3/1992,1444.98
8/4/1992,1455.75
8/5/1992,1442.03
8/6/1992,1416.83
8/7/1992,1424.59
8/10/1992,1424.59
8/11/1992,1392.91
8/12/1992,1366.23
8/13/1992,1374.76
8/14/1992,1337.95
8/17/1992,1334.42
8/18/1992,1310.95
8/19/1992,1312.11
8/20/1992,1323.59
8/21/1992,1347.31
8/24/1992,1330.77
8/25/1992,1338.91
8/26/1992,1370.53
8/27/1992,1360.84
8/28/1992,1359.3
8/31/1992,1378.54
9/1/1992,1375.46
9/2/1992,1365.91
9/3/1992,1367.71
9/4/1992,1364.88
